zeo_id,largest_included_sphere,largest_free_sphere,largest_included_sphere_along_free_sphere_path,Unitcell_volume:,Density:,ASA_A^2:,NASA_A^2:,num_1d_chan,num_2d_chan,num_3d_chan,num_chan
h8272702,4.79573,2.76651,4.79573,3858.27,2.06874,250.067,114.597,0,0,0,0
h8272704,6.86117,5.26134,6.86116,4703.91,1.86652,537.666,0.0,2,0,0,2
h8272707,5.33379,3.95208,5.33379,4082.43,1.75963,425.046,136.17,4,0,0,4
h8272710,4.69954,3.1351,4.35176,4291.95,1.8597,503.426,0.0,4,0,0,4
h8272715,4.6668,3.3639,4.65277,4660.09,1.88407,619.272,16.9324,4,0,0,4
h8272728,5.00084,2.98065,5.00084,4966.97,1.76766,740.518,61.8022,0,0,0,0
h8272730,4.37073,4.04516,4.33894,4903.28,1.79062,700.617,16.8531,6,0,0,6
h8272731,7.59816,6.62352,7.59816,4722.66,1.69009,522.15,181.923,2,0,0,2
h8272734,6.1014,2.88878,6.1014,4907.24,1.78918,722.699,47.3697,0,0,0,0
h8272737,6.0342,3.01023,5.19022,5089.28,1.72518,745.278,30.5647,2,0,0,2
h8272739,5.92184,2.96315,5.92184,5737.31,1.80856,839.122,43.8838,0,0,0,0
h8272742,5.08575,2.96457,5.08575,4076.75,1.76208,687.82,0.254366,0,0,0,0
h8272752,5.43338,3.17837,5.4269,5144.0,1.70683,977.138,0.0,4,0,0,4
h8272754,5.10119,3.27777,3.98522,4933.52,1.77965,694.871,23.3496,6,0,0,6
h8272755,5.0955,3.27718,4.13012,4431.75,1.80104,586.035,7.48998,6,0,0,6
h8272772,5.75683,3.0011,4.37132,4645.75,1.88988,176.99,327.871,2,0,0,2
h8272773,5.77038,4.00742,5.77038,4612.8,1.90338,350.411,125.144,2,0,0,2
h8272781,5.06553,2.96125,4.05797,4292.12,1.85963,672.62,0.0,0,0,0,0
h8272786,6.72339,5.51569,6.72339,3969.25,1.80981,388.938,53.9018,2,0,0,2
h8272787,4.36213,3.63212,4.16982,4532.07,1.93729,565.399,0.0,8,0,0,8
h8272793,5.15827,3.24903,3.9463,4876.37,1.8005,729.001,0.251757,6,0,0,6
h8272799,4.77774,3.10787,4.06558,4436.29,1.97911,444.121,11.8278,2,0,0,2
h8272800,4.21578,3.04247,4.21578,5282.82,1.96415,266.135,143.627,4,0,0,4
h8272804,6.09268,4.60647,6.09268,4950.79,1.77344,529.777,136.415,2,0,0,2
h8272806,5.76956,5.05496,5.76956,5128.93,1.86747,414.179,37.2466,4,0,0,4
h8272820,6.65515,3.11785,6.65515,3827.44,1.87686,363.101,65.3777,2,0,0,2
h8272832,4.35714,2.93168,4.35714,4600.45,1.90849,254.952,81.6141,0,0,0,0
h8272841,6.75516,3.02086,6.75516,4586.2,1.91442,269.271,119.774,2,0,0,2
h8272843,6.89353,4.99819,6.86977,4703.18,1.8668,481.437,88.7127,2,0,0,2
h8272844,3.9878,3.30748,3.90689,3628.64,1.97968,338.048,19.3892,2,0,0,2
h8272845,3.89048,3.18832,3.82903,4354.44,2.01631,192.378,102.787,0,1,0,1
h8272847,5.79379,3.0913,5.74566,3690.15,1.94669,295.612,3.21592,2,0,0,2
h8272848,6.34782,3.23714,6.34782,4637.62,1.8932,592.829,0.0,0,2,0,2
h8272854,6.07169,4.40652,6.01183,5330.93,1.94643,237.621,92.9624,2,0,0,2
h8272855,5.86859,5.0951,5.86859,3476.9,1.9513,362.451,0.719221,2,0,0,2
